FACILITY,ADDRESS,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
"CHINA BUFFET OF SO. GLENS FALLS, INC","38 MAIN STREET,  SOUTH GLENS FALLS",01/12/2012,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,6,0,6,Glens Falls District Office,SARATOGA,45-AD57   ,38 MAIN STREET,SOUTH GLENS FALLS,12803    ,452400,MOREAU,"CHINA BUFFET OF SO. GLENS FALLS, INC.",09/30/2017,Food Service Establishment,Food Service Establishment,,"CHINA BUFFET OF SO. GLENS FALLS, INC.",JIANG,MIN XIANG,581877,Inspection,,NY,43.30332,-73.639148
GOLDEN DRAGON CHINESE RESTAURANT    ,"24 South Main  STREET,  Liberty",09/29/2009,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,2,0,8,Monticello District Office,SULLIVAN,52-AF58   ,24 South Main  STREET,Liberty,12754    ,522000,LIBERTY,Golden Dragon Chinese Restaurant,05/31/2016,Food Service Establishment,Food Service Establishment,,Golden Dragon Chinese Restaurant,Zhang,Xiu Bin,423258,Re-Inspection,,NY,41.798841,-74.745247
MAMA'S COFFEE SHOP                  ,"5091 MAIN STREET,  SOUTH FALLSBURG",12/16/2014,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,1,0,8,Monticello District Office,SULLIVAN,52-AN93   ,5091 MAIN STREET,SOUTH FALLSBURG,12779    ,525400,FALLSBURG,MAMA'S COFFEE SHOP,12/31/2016,Food Service Establishment,Food Service Establishment,,Mama's Coffee Shop,Fyffe,Courtney,827048,Inspection,"Tuna salad: 43 degrees Fahrenheit, sliced deli turkey: 37 degrees Fahrenheit",NY,41.713934,-74.622443
INN AT LEEDS                        ,"1125  Route 23B,  Leeds",09/24/2012,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,1,0,6,Oneonta District Office,GREENE,19-AI58   ,1125  Route 23B  ,Leeds,12451    ,195300,CATSKILL,THE INN AT LEEDS,09/30/2017,Food Service Establishment,Restaurant,,"BYRNE & BYRNE, INC.",Byrne,John,355096,Inspection,,NY,42.255121,-73.901753
MR. SUB                             ,"109   MILL STREET,  WATERTOWN",06/06/2007,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,1,0,4,Watertown District Office,JEFFERSON,22-AE57   ,109   MILL STREET  ,WATERTOWN,13601    ,220100,WATERTOWN,MR. SUB,12/31/2016,Food Service Establishment,Restaurant,Mr. Sub,"Mr. Sub Sandwich Shop, Inc.",Farone,Carl,363011,Inspection,,NY,43.975461,-75.907863
MIKE'S                              ,"18938 COUNTY ROUTE 165,  WATERTOWN",05/15/2015,6B,"Enough hot holding equipment is not present, properly designed, maintained and operated to keep hot foods above 140oF.",Critical Violation,3,0,5,Watertown District Office,JEFFERSON,22-AB78   , 18938 COUNTY ROUTE 165  ,WATERTOWN,13601    ,226900,WATERTOWN,MIKE'S ,12/31/2016,Food Service Establishment,Restaurant,,,Cornell,Mike,831839,Inspection,"all cold holding temps checked acceptable.  hamburger in hot holding 150 F. shelf in freezer replaced.  Now preparing own soups and cooling leftovers. Educational material provided on cooling, thawing and sanitation.",NY,43.940579,-75.919199
PORT OF CALL                        ,"7  MAIN STREET,  CATSKILL",06/19/2013,7A,"All poultry, poultry stuffings, stuffed meats and stuffings containing meat are not heated to 165oF or above.",Critical Violation,2,0,5,Oneonta District Office,GREENE,19-AI01   ,7  MAIN STREET,CATSKILL,12414    ,195300,CATSKILL,PORT OF CALL,04/30/2018,Food Service Establishment,Restaurant,,"FRANK GAIL, INC.",Guido,Frank,695350,Inspection,,NY,42.210487,-73.854364
MOREY'S DINER                       ,"119 PHELPS ST.,  ONEIDA",12/23/2015,7F,"Precooked, refrigerated potentially hazardous food is not reheated to 165oF or above within two hours.",Critical Violation,3,0,7,Madison County,MADISON,26-AF65   ,119 PHELPS ST.,ONEIDA,13421    ,260100,ONEIDA,MOREY'S DINER,02/29/2016,Food Service Establishment,Restaurant,,,MOREY,LYNN & CYNTHIA,282007,Inspection,"Discussed: 1-Harboring of cats in the diner. 2-Variable temperature ranges within double door refrigerator. 3-Proper cooling and reheating techniques. 4-Connecting the grease trap located in the basement. 5-Ansul last inspected in 2012.  Stem thermom,eter available.  Choking poster and permit posted.",NY,43.095358,-75.651552
NEW CHINA EXPRESS                   ,"439 NORTH MAIN  STREET,  FREEPORT",11/09/2009,7F,"Precooked, refrigerated potentially hazardous food is not reheated to 165oF or above within two hours.",Critical Violation,3,0,3,Nassau  County,NASSAU,15349-03  ,439 NORTH MAIN  STREET,FREEPORT,11520    ,290400,HEMPSTEAD,NEW CHINA EXPRESS,05/31/2016,Food Service Establishment,Food Service Establishment,,LONG FENG ZENG,,,664663,Inspection,,NY,40.671213,-73.588167
FIRST CHOICE CARIBBEAN  CUISINE     ,"451 FULTON STREET,  TROY",10/01/2008,7F,"Precooked, refrigerated potentially hazardous food is not reheated to 165oF or above within two hours.",Critical Violation,3,0,0,Rensselaer County,RENSSELAER,41-T323   ,451 FULTON STREET,TROY,12180    ,410202,TROY,FIRST CHOICE CARIBBEAN  CUISINE,09/30/2016,Food Service Establishment,Restaurant,,,CUMMINGS,NATASHA ,439287,Inspection,,NY,42.732261,-73.6881
ITALIAN KITCHEN                     ,"7182 SOUTH MAIN STREET,  OVID",10/30/2014,7F,"Precooked, refrigerated potentially hazardous food is not reheated to 165oF or above within two hours.",Critical Violation,2,0,6,Seneca  County,SENECA,49-7385   ,7182 SOUTH MAIN STREET,OVID,14521    ,492200,OVID,ITALIAN KITCHEN,09/30/2016,Food Service Establishment,Restaurant,,,SEAMON,JOSEPH,881170,Inspection,adm-2 IN FILE,NY,,
PANERA BREAD  #740                  ,"161 WASHINGTON AVENUE EXTENSION,  ALBANY",11/26/2007,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,1,0,4,Albany County,ALBANY,01-1532   ,161 WASHINGTON AVENUE EXTENSION,ALBANY,12203    ,010100,ALBANY,PANERA BREAD #740,06/30/2016,Food Service Establishment,Restaurant,,"PANERA, LLC.",JOHNSTON,AMANDA,254270,Inspection,,NY,42.696261,-73.848783
PANERA BREAD  #740                  ,"161 WASHINGTON AVENUE EXTENSION,  ALBANY",04/04/2008,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,7,Albany County,ALBANY,01-1532   ,161 WASHINGTON AVENUE EXTENSION,ALBANY,12203    ,010100,ALBANY,PANERA BREAD #740,06/30/2016,Food Service Establishment,Restaurant,,"PANERA, LLC.",JOHNSTON,AMANDA,254270,Inspection,,NY,42.696261,-73.848783
SHAKER RIDGE C.C.-2 SHEA CATERING   ,"802 ALBANY-SHAKER ROAD,  LOUDONVILLE",04/26/2012,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,6,Albany County,ALBANY,01-3148   ,802 ALBANY-SHAKER ROAD,LOUDONVILLE,12211    ,015300,COLONIE,2 SHEA CATERING @ SHAKER RIDGE COUNTRY CLUB,03/31/2017,Food Service Establishment,Restaurant,,"LITTLE BAVARIA, INC.",SHEA,EDWARD,750509,Inspection,,NY,42.748164,-73.818252
Waterways Resort                    ,"5920 County Road 16,  Belfast",05/07/2014,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,2,Allegany County,ALLEGANY,02-4106   ,5920 County Road 16  ,Belfast,14711    ,025600,ANGELICA,Waterways Resort Club House,05/31/2016,Food Service Establishment,Food Service Establishment,,,Patton,Richard,695722,Inspection,,NY,42.29953,-78.069759
BELLA PIZZA                         ,"1116 CHENANGO STREET,  BINGHAMTON",03/03/2009,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,5,Broome County,BROOME,03-AD44   ,1116 CHENANGO STREET,BINGHAMTON,13901    ,035602,FENTON,BELLA PIZZA,03/31/2017,Food Service Establishment,Food Service Establishment,,,FRANCAVILLA,LORETTA,256419,Inspection,Provided food temperature fact sheet and reviewed with operator.  Also provided replacement hand wash sign for men's restroom.,NY,42.148997,-75.887266
KENT FRIED CHICKEN                  ,"4010 Vestal Parkway E,  VESTAL",05/12/2009,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,6,Broome County,BROOME,03-AA86   ,4010 Vestal Parkway E  ,VESTAL,13850    ,036400,VESTAL,KENT FRIED CHICKEN,05/31/2016,Food Service Establishment,Restaurant,,PAK VESTAL MANAGEMENT INC.,KIRMANI,SYED-TALAL,256142,Inspection,,NY,42.095685,-75.976502
BLIND TIGER PUB                     ,"4402 WATSON BOULEVARD,  JOHNSON CITY",07/23/2010,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,1,0,9,Broome County,BROOME,03-AI08   ,4402 WATSON BOULEVARD,JOHNSON CITY,13790    ,036300,UNION,BLIND TIGER PUB,07/31/2016,Food Service Establishment,Food Service Establishment,,,NICHOLS,GLENN,256931,Inspection,,NY,42.119892,-75.984791
KOO KOOSE GRILLE                    ,"129 FRONT STREET,  DEPOSIT",01/08/2014,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,1,Broome County,BROOME,03-AM01   ,129 FRONT STREET,DEPOSIT,13754    ,032200,SANFORD,KOO KOOSE GRILLE,11/30/2016,Food Service Establishment,Food Service Establishment,,,LEONARD,KATHLEEN,651536,Inspection,,NY,42.060607,-75.426394
SUBWAY - WHITNEY POINT              ,"2969 NYS Route 11,  WHITNEY POINT",06/14/2007,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,6,Broome County,BROOME,03-AD01   ,2969 NYS Route 11  ,WHITNEY POINT,13862    ,032300,TRIANGLE,SUBWAY - WHITNEY POINT,03/31/2017,Food Service Establishment,Food Service Establishment,,"WHITNEY POINT SUBWAY, INC.",BOCZAR,EMILY ,256368,Inspection,,NY,42.337074,-75.975723
EVANS ALFIE'S RESTAURANT            ,"986 EAST FAIRMOUNT AVE WE AVENUE,  JAMESTOWN",12/04/2006,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,1,0,8,Chautauqua County,CHAUTAUQUA,06-AG85   ,986 EAST FAIRMOUNT AVE WE AVENUE,JAMESTOWN,14701    ,065900,ELLICOTT,EVANS ALFIE'S RESTAURANT,12/31/2017,Food Service Establishment,Restaurant,,,EVANS,DANIEL,263447,Inspection,,NY,42.097549,-79.293121
EVANS ALFIE'S RESTAURANT            ,"986 EAST FAIRMOUNT AVE WE AVENUE,  JAMESTOWN",03/01/2011,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,1,0,10,Chautauqua County,CHAUTAUQUA,06-AG85   ,986 EAST FAIRMOUNT AVE WE AVENUE,JAMESTOWN,14701    ,065900,ELLICOTT,EVANS ALFIE'S RESTAURANT,12/31/2017,Food Service Establishment,Restaurant,,,EVANS,DANIEL,263447,Inspection,,NY,42.097549,-79.293121
Thompson Road Tavern                ,"6266 Thompson ROAD,  Syracuse",02/17/2011,2C,Cooked or prepared foods are subject to cross-contamination from raw foods.,Critical Violation,3,0,10,Onondaga County,ONONDAGA,2769      ,6266 Thompson ROAD,Syracuse,13206    ,335300,DEWITT,Thompson Road Tavern,01/31/2017,Food Service Establishment,Restaurant,,6266 Thompson Road Corporation,Butler,Curtis,539773,Inspection,,NY,43.076036,-76.088896
HEADSTART - NORTH NORWICH           ,"188 COUNTY ROAD 23,  NORTH NORWICH",02/09/2009,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,1,Chenango County,CHENANGO,08-AB44   ,188 COUNTY ROAD 23  ,NORTH NORWICH,13814    ,086000,NO. NORWICH,HEADSTART - NORTH NORWICH,12/31/2016,Institutional Food Service,Day Care Center Food Service,,HEADSTART - NORTH NORWICH,"FOR CHENANGO, INC",OPPORTUNITIES,267284,Inspection,,NY,42.617143,-75.527261
MCDONALDS 35737                     ,"859 Route 13,  Cortland",12/01/2015,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,1,0,3,Cortland County,CORTLAND,11-0394   ,859 Route 13  ,Cortland,13045    ,115100,CORTLANDVILLE,MCDONALDS 35737,12/31/2016,Food Service Establishment,Food Service Establishment,,McDonalds 35737,SEXTON,KRISTINE ,821724,Inspection,,NY,,
WESTBURY SD - DREXEL ELEM SCH       ,"161 DREXEL  AVENUE,  WESTBURY",09/23/2008,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,2,Nassau  County,NASSAU,11201-01  ,161 DREXEL  AVENUE,WESTBURY,11590    ,299900,NASSAU SCHOOLS,WESTBURY SD - DREXEL ELEM SCH       ,12/31/2016,Institutional Food Service,School K-12 Food Service,DREXEL ELEM SCH (WESTBURY UFSD),WESTBURY UNION FREE SCHOOL DISTRICT,LAGNADO,MARY ,579382,Inspection,,NY,40.757855,-73.591831
OPA GRILLE                          ,"505 A  STEWART AVENUE,  BETHPAGE",04/08/2009,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,2,0,5,Nassau  County,NASSAU,17522-03  ,505 A  STEWART AVENUE,BETHPAGE,11714    ,295201,OYSTER BAY,OPA GRILLE,03/31/2017,Food Service Establishment,Restaurant,OPA GRILLE,POM CORP,,,575963,Inspection,,NY,40.741955,-73.481736
TANG'S GARDEN                       ,"129 SHERIDAN  BOULEVARD,  INWOOD",06/19/2009,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,1,0,5,Nassau  County,NASSAU,17789-01  ,129 SHERIDAN  BOULEVARD,INWOOD,110961809,295022,HEMPSTEAD,TANG'S GARDEN,03/31/2017,Food Service Establishment,Food Service Establishment,,,DONG,TANG ZI,569925,Inspection,,NY,40.615039,-73.752607
MATSUYA JAPANESE RESTAURANT         ,"6 GREAT NECK  ROAD,  GREAT NECK",10/30/2009,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,1,1,6,Nassau  County,NASSAU,17284-03  ,6 GREAT NECK  ROAD,GREAT NECK,11021    ,291300,N. HEMPSTEAD,MATSUYA JAPANESE RESTAURANT,11/30/2016,Food Service Establishment,Restaurant,MATSUYA JAPANESE RESTAURANT,MATSUYA OF GREAT NECK INC,,,577046,Inspection,,NY,40.786643,-73.726721
MATSUYA JAPANESE RESTAURANT         ,"6 GREAT NECK  ROAD,  GREAT NECK",02/23/2010,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,1,0,9,Nassau  County,NASSAU,17284-03  ,6 GREAT NECK  ROAD,GREAT NECK,11021    ,291300,N. HEMPSTEAD,MATSUYA JAPANESE RESTAURANT,11/30/2016,Food Service Establishment,Restaurant,MATSUYA JAPANESE RESTAURANT,MATSUYA OF GREAT NECK INC,,,577046,Inspection,,NY,40.786643,-73.726721
JIMMY HAYS STEAK HOUSE              ,"4310 AUSTIN  BOULEVARD,  ISLAND PARK",03/19/2010,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,4,Nassau  County,NASSAU,04636-02  ,4310 AUSTIN  BOULEVARD,ISLAND PARK,11558    ,296100,HEMPSTEAD,JIMMY HAYS STEAK HOUSE,12/31/2016,Food Service Establishment,Restaurant,JIMMY HAYS STEAK HOUSE,,HAYS,JAMES,568728,Inspection,,NY,40.604571,-73.650331
NEW CHINA EXPRESS                   ,"439 NORTH MAIN  STREET,  FREEPORT",08/25/2010,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,6,Nassau  County,NASSAU,15349-03  ,439 NORTH MAIN  STREET,FREEPORT,11520    ,290400,HEMPSTEAD,NEW CHINA EXPRESS,05/31/2016,Food Service Establishment,Food Service Establishment,,LONG FENG ZENG,,,664663,Inspection,,NY,40.671213,-73.588167
